global_lap_num,session,session_lap_num,class_name,class_index,s1_time_ms,s1_time_seconds,incident,brake_image_1,brake_image_2,throttle_image_1,throttle_image_2,raw_brake_image_1,raw_brake_image_2,raw_throttle_image_1,raw_throttle_image_2,delta_1_seconds,delta_2_seconds,delta_gap_seconds,mean_delta_seconds,has_delta_data,split
18,2,8,standard_laps,1,28483,28.483,none,Data/cnn-classes/standard_laps/lap_0018_brake_01.png,Data/cnn-classes/standard_laps/lap_0018_brake_02.png,Data/cnn-classes/standard_laps/lap_0018_throttle_01.png,Data/cnn-classes/standard_laps/lap_0018_throttle_02.png,Data/image-data/session-2/brake/Lap_8_Brake hit_1.png,Data/image-data/session-2/brake/Lap_8_Brake hit_2.png,Data/image-data/session-2/throttle/Lap_8_Throttle hit_1.png,Data/image-data/session-2/throttle/Lap_8_Throttle hit_2.png,,,,,False,train
19,2,9,sub_standard_laps,2,28828,28.828,none,Data/cnn-classes/sub_standard_laps/lap_0019_brake_01.png,Data/cnn-classes/sub_standard_laps/lap_0019_brake_02.png,Data/cnn-classes/sub_standard_laps/lap_0019_throttle_01.png,Data/cnn-classes/sub_standard_laps/lap_0019_throttle_02.png,Data/image-data/session-2/brake/Lap_9_Brake hit_1.png,Data/image-data/session-2/brake/Lap_9_Brake hit_2.png,Data/image-data/session-2/throttle/Lap_9_Throttle hit_1.png,Data/image-data/session-2/throttle/Lap_9_Throttle hit_2.png,,,,,False,train
21,2,11,sub_standard_laps,2,28897,28.897,none,Data/cnn-classes/sub_standard_laps/lap_0021_brake_01.png,Data/cnn-classes/sub_standard_laps/lap_0021_brake_02.png,Data/cnn-classes/sub_standard_laps/lap_0021_throttle_01.png,Data/cnn-classes/sub_standard_laps/lap_0021_throttle_02.png,Data/image-data/session-2/brake/Lap_11_Brake hit_1.png,Data/image-data/session-2/brake/Lap_11_Brake hit_2.png,Data/image-data/session-2/throttle/Lap_11_Throttle hit_1.png,Data/image-data/session-2/throttle/Lap_11_Throttle hit_2.png,,,,,False,train
22,3,1,sub_standard_laps,2,28857,28.857,none,Data/cnn-classes/sub_standard_laps/lap_0022_brake_01.png,Data/cnn-classes/sub_standard_laps/lap_0022_brake_02.png,Data/cnn-classes/sub_standard_laps/lap_0022_throttle_01.png,Data/cnn-classes/sub_standard_laps/lap_0022_throttle_02.png,Data/image-data/session-3/brake/Lap_1_Brake hit_1.png,Data/image-data/session-3/brake/Lap_1_Brake hit_2.png,Data/image-data/session-3/throttle/Lap_1_Throttle hit_1.png,Data/image-data/session-3/throttle/Lap_1_Throttle hit_2.png,,,,,False,train
24,3,3,standard_laps,1,28361,28.361,none,Data/cnn-classes/standard_laps/lap_0024_brake_01.png,Data/cnn-classes/standard_laps/lap_0024_brake_02.png,Data/cnn-classes/standard_laps/lap_0024_throttle_01.png,Data/cnn-classes/standard_laps/lap_0024_throttle_02.png,Data/image-data/session-3/brake/Lap_3_Brake hit_1.png,Data/image-data/session-3/brake/Lap_3_Brake hit_2.png,Data/image-data/session-3/throttle/Lap_3_Throttle hit_1.png,Data/image-data/session-3/throttle/Lap_3_Throttle hit_2.png,,,,,False,train
25,3,4,optimal_laps,0,27975,27.975,none,Data/cnn-classes/optimal_laps/lap_0025_brake_01.png,Data/cnn-classes/optimal_laps/lap_0025_brake_02.png,Data/cnn-classes/optimal_laps/lap_0025_throttle_01.png,Data/cnn-classes/optimal_laps/lap_0025_throttle_02.png,Data/image-data/session-3/brake/Lap_4_Brake hit_1.png,Data/image-data/session-3/brake/Lap_4_Brake hit_2.png,Data/image-data/session-3/throttle/Lap_4_Throttle hit_1.png,Data/image-data/session-3/throttle/Lap_4_Throttle hit_2.png,,,,,False,train
26,4,1,standard_laps,1,28390,28.39,none,Data/cnn-classes/standard_laps/lap_0026_brake_01.png,Data/cnn-classes/standard_laps/lap_0026_brake_02.png,Data/cnn-classes/standard_laps/lap_0026_throttle_01.png,Data/cnn-classes/standard_laps/lap_0026_throttle_02.png,Data/image-data/session-4/brake/Lap_1_Brake hit_1.png,Data/image-data/session-4/brake/Lap_1_Brake hit_2.png,Data/image-data/session-4/throttle/Lap_1_Throttle hit_1.png,Data/image-data/session-4/throttle/Lap_1_Throttle hit_2.png,,,,,False,train
28,4,3,sub_standard_laps,2,29430,29.43,none,Data/cnn-classes/sub_standard_laps/lap_0028_brake_01.png,Data/cnn-classes/sub_standard_laps/lap_0028_brake_02.png,Data/cnn-classes/sub_standard_laps/lap_0028_throttle_01.png,Data/cnn-classes/sub_standard_laps/lap_0028_throttle_02.png,Data/image-data/session-4/brake/Lap_3_Brake hit_1.png,Data/image-data/session-4/brake/Lap_3_Brake hit_2.png,Data/image-data/session-4/throttle/Lap_3_Throttle hit_1.png,Data/image-data/session-4/throttle/Lap_3_Throttle hit_2.png,,,,,False,train
29,4,4,standard_laps,1,28335,28.335,none,Data/cnn-classes/standard_laps/lap_0029_brake_01.png,Data/cnn-classes/standard_laps/lap_0029_brake_02.png,Data/cnn-classes/standard_laps/lap_0029_throttle_01.png,Data/cnn-classes/standard_laps/lap_0029_throttle_02.png,Data/image-data/session-4/brake/Lap_4_Brake hit_1.png,Data/image-data/session-4/brake/Lap_4_Brake hit_2.png,Data/image-data/session-4/throttle/Lap_4_Throttle hit_1.png,Data/image-data/session-4/throttle/Lap_4_Throttle hit_2.png,,,,,False,train
31,4,6,standard_laps,1,28241,28.241,none,Data/cnn-classes/standard_laps/lap_0031_brake_01.png,Data/cnn-classes/standard_laps/lap_0031_brake_02.png,Data/cnn-classes/standard_laps/lap_0031_throttle_01.png,Data/cnn-classes/standard_laps/lap_0031_throttle_02.png,Data/image-data/session-4/brake/Lap_6_Brake hit_1.png,Data/image-data/session-4/brake/Lap_6_Brake hit_2.png,Data/image-data/session-4/throttle/Lap_6_Throttle hit_1.png,Data/image-data/session-4/throttle/Lap_6_Throttle hit_2.png,,,,,False,train
32,4,7,sub_standard_laps,2,29498,29.498,none,Data/cnn-classes/sub_standard_laps/lap_0032_brake_01.png,Data/cnn-classes/sub_standard_laps/lap_0032_brake_02.png,Data/cnn-classes/sub_standard_laps/lap_0032_throttle_01.png,Data/cnn-classes/sub_standard_laps/lap_0032_throttle_02.png,Data/image-data/session-4/brake/Lap_7_Brake hit_1.png,Data/image-data/session-4/brake/Lap_7_Brake hit_2.png,Data/image-data/session-4/throttle/Lap_7_Throttle hit_1.png,Data/image-data/session-4/throttle/Lap_7_Throttle hit_2.png,,,,,False,train
33,4,8,standard_laps,1,28566,28.566,none,Data/cnn-classes/standard_laps/lap_0033_brake_01.png,Data/cnn-classes/standard_laps/lap_0033_brake_02.png,Data/cnn-classes/standard_laps/lap_0033_throttle_01.png,Data/cnn-classes/standard_laps/lap_0033_throttle_02.png,Data/image-data/session-4/brake/Lap_8_Brake hit_1.png,Data/image-data/session-4/brake/Lap_8_Brake hit_2.png,Data/image-data/session-4/throttle/Lap_8_Throttle hit_1.png,Data/image-data/session-4/throttle/Lap_8_Throttle hit_2.png,,,,,False,train
35,4,10,standard_laps,1,28426,28.426,none,Data/cnn-classes/standard_laps/lap_0035_brake_01.png,Data/cnn-classes/standard_laps/lap_0035_brake_02.png,Data/cnn-classes/standard_laps/lap_0035_throttle_01.png,Data/cnn-classes/standard_laps/lap_0035_throttle_02.png,Data/image-data/session-4/brake/Lap_10_Brake hit_1.png,Data/image-data/session-4/brake/Lap_10_Brake hit_2.png,Data/image-data/session-4/throttle/Lap_10_Throttle hit_1.png,Data/image-data/session-4/throttle/Lap_10_Throttle hit_2.png,,,,,False,train
36,4,11,standard_laps,1,28640,28.64,none,Data/cnn-classes/standard_laps/lap_0036_brake_01.png,Data/cnn-classes/standard_laps/lap_0036_brake_02.png,Data/cnn-classes/standard_laps/lap_0036_throttle_01.png,Data/cnn-classes/standard_laps/lap_0036_throttle_02.png,Data/image-data/session-4/brake/Lap_11_Brake hit_1.png,Data/image-data/session-4/brake/Lap_11_Brake hit_2.png,Data/image-data/session-4/throttle/Lap_11_Throttle hit_1.png,Data/image-data/session-4/throttle/Lap_11_Throttle hit_2.png,,,,,False,train
38,5,2,standard_laps,1,28297,28.297,none,Data/cnn-classes/standard_laps/lap_0038_brake_01.png,Data/cnn-classes/standard_laps/lap_0038_brake_02.png,Data/cnn-classes/standard_laps/lap_0038_throttle_01.png,Data/cnn-classes/standard_laps/lap_0038_throttle_02.png,Data/image-data/session-5/brake/Lap_2_Brake hit_1.png,Data/image-data/session-5/brake/Lap_2_Brake hit_2.png,Data/image-data/session-5/throttle/Lap_2_Throttle hit_1.png,Data/image-data/session-5/throttle/Lap_2_Throttle hit_2.png,,,,,False,train
43,5,7,sub_standard_laps,2,28691,28.691,none,Data/cnn-classes/sub_standard_laps/lap_0043_brake_01.png,Data/cnn-classes/sub_standard_laps/lap_0043_brake_02.png,Data/cnn-classes/sub_standard_laps/lap_0043_throttle_01.png,Data/cnn-classes/sub_standard_laps/lap_0043_throttle_02.png,Data/image-data/session-5/brake/Lap_7_Brake hit_1.png,Data/image-data/session-5/brake/Lap_7_Brake hit_2.png,Data/image-data/session-5/throttle/Lap_7_Throttle hit_1.png,Data/image-data/session-5/throttle/Lap_7_Throttle hit_2.png,,,,,False,train
46,5,10,sub_standard_laps,2,28901,28.901,none,Data/cnn-classes/sub_standard_laps/lap_0046_brake_01.png,Data/cnn-classes/sub_standard_laps/lap_0046_brake_02.png,Data/cnn-classes/sub_standard_laps/lap_0046_throttle_01.png,Data/cnn-classes/sub_standard_laps/lap_0046_throttle_02.png,Data/image-data/session-5/brake/Lap_10_Brake hit_1.png,Data/image-data/session-5/brake/Lap_10_Brake hit_2.png,Data/image-data/session-5/throttle/Lap_10_Throttle hit_1.png,Data/image-data/session-5/throttle/Lap_10_Throttle hit_2.png,,,,,False,train
47,5,11,sub_standard_laps,2,29194,29.194,none,Data/cnn-classes/sub_standard_laps/lap_0047_brake_01.png,Data/cnn-classes/sub_standard_laps/lap_0047_brake_02.png,Data/cnn-classes/sub_standard_laps/lap_0047_throttle_01.png,Data/cnn-classes/sub_standard_laps/lap_0047_throttle_02.png,Data/image-data/session-5/brake/Lap_11_Brake hit_1.png,Data/image-data/session-5/brake/Lap_11_Brake hit_2.png,Data/image-data/session-5/throttle/Lap_11_Throttle hit_1.png,Data/image-data/session-5/throttle/Lap_11_Throttle hit_2.png,,,,,False,train
48,6,1,standard_laps,1,28263,28.263,none,Data/cnn-classes/standard_laps/lap_0048_brake_01.png,Data/cnn-classes/standard_laps/lap_0048_brake_02.png,Data/cnn-classes/standard_laps/lap_0048_throttle_01.png,Data/cnn-classes/standard_laps/lap_0048_throttle_02.png,Data/image-data/session-6/brake/Lap_1_Brake hit_1.png,Data/image-data/session-6/brake/Lap_1_Brake hit_2.png,Data/image-data/session-6/throttle/Lap_1_Throttle hit_1.png,Data/image-data/session-6/throttle/Lap_1_Throttle hit_2.png,1.330505132675171,2.5443592071533203,1.2138540744781494,1.9374321699142456,True,test
50,6,3,standard_laps,1,28321,28.321,none,Data/cnn-classes/standard_laps/lap_0050_brake_01.png,Data/cnn-classes/standard_laps/lap_0050_brake_02.png,Data/cnn-classes/standard_laps/lap_0050_throttle_01.png,Data/cnn-classes/standard_laps/lap_0050_throttle_02.png,Data/image-data/session-6/brake/Lap_3_Brake hit_1.png,Data/image-data/session-6/brake/Lap_3_Brake hit_2.png,Data/image-data/session-6/throttle/Lap_3_Throttle hit_1.png,Data/image-data/session-6/throttle/Lap_3_Throttle hit_2.png,1.3782010078430176,2.5585391521453857,1.1803381443023682,1.9683700799942017,True,test
51,6,4,standard_laps,1,28483,28.483,none,Data/cnn-classes/standard_laps/lap_0051_brake_01.png,Data/cnn-classes/standard_laps/lap_0051_brake_02.png,Data/cnn-classes/standard_laps/lap_0051_throttle_01.png,Data/cnn-classes/standard_laps/lap_0051_throttle_02.png,Data/image-data/session-6/brake/Lap_4_Brake hit_1.png,Data/image-data/session-6/brake/Lap_4_Brake hit_2.png,Data/image-data/session-6/throttle/Lap_4_Throttle hit_1.png,Data/image-data/session-6/throttle/Lap_4_Throttle hit_2.png,1.6070523262023926,2.64884090423584,1.0417885780334473,2.127946615219116,True,test
53,6,6,standard_laps,1,28366,28.366,none,Data/cnn-classes/standard_laps/lap_0053_brake_01.png,Data/cnn-classes/standard_laps/lap_0053_brake_02.png,Data/cnn-classes/standard_laps/lap_0053_throttle_01.png,Data/cnn-classes/standard_laps/lap_0053_throttle_02.png,Data/image-data/session-6/brake/Lap_6_Brake hit_1.png,Data/image-data/session-6/brake/Lap_6_Brake hit_2.png,Data/image-data/session-6/throttle/Lap_6_Throttle hit_1.png,Data/image-data/session-6/throttle/Lap_6_Throttle hit_2.png,1.4015560150146484,2.515643119812012,1.1140871047973633,1.95859956741333,True,test
55,6,8,sub_standard_laps,2,28791,28.791,none,Data/cnn-classes/sub_standard_laps/lap_0055_brake_01.png,Data/cnn-classes/sub_standard_laps/lap_0055_brake_02.png,Data/cnn-classes/sub_standard_laps/lap_0055_throttle_01.png,Data/cnn-classes/sub_standard_laps/lap_0055_throttle_02.png,Data/image-data/session-6/brake/Lap_8_Brake hit_1.png,Data/image-data/session-6/brake/Lap_8_Brake hit_2.png,Data/image-data/session-6/throttle/Lap_8_Throttle hit_1.png,Data/image-data/session-6/throttle/Lap_8_Throttle hit_2.png,1.4284217357635498,2.187508106231689,0.7590863704681396,1.80796492099762,True,test
60,7,4,optimal_laps,0,27738,27.738,none,Data/cnn-classes/optimal_laps/lap_0060_brake_01.png,Data/cnn-classes/optimal_laps/lap_0060_brake_02.png,Data/cnn-classes/optimal_laps/lap_0060_throttle_01.png,Data/cnn-classes/optimal_laps/lap_0060_throttle_02.png,Data/image-data/session-7/brake/Lap_4_Brake hit_1.png,Data/image-data/session-7/brake/Lap_4_Brake hit_2.png,Data/image-data/session-7/throttle/Lap_4_Throttle hit_1.png,Data/image-data/session-7/throttle/Lap_4_Throttle hit_2.png,1.0230348110198977,2.783273696899414,1.7602388858795166,1.903154253959656,True,validation
61,7,5,sub_standard_laps,2,28742,28.742,none,Data/cnn-classes/sub_standard_laps/lap_0061_brake_01.png,Data/cnn-classes/sub_standard_laps/lap_0061_brake_02.png,Data/cnn-classes/sub_standard_laps/lap_0061_throttle_01.png,Data/cnn-classes/sub_standard_laps/lap_0061_throttle_02.png,Data/image-data/session-7/brake/Lap_5_Brake hit_1.png,Data/image-data/session-7/brake/Lap_5_Brake hit_2.png,Data/image-data/session-7/throttle/Lap_5_Throttle hit_1.png,Data/image-data/session-7/throttle/Lap_5_Throttle hit_2.png,1.6941251754760742,2.61402440071106,0.9198992252349854,2.154074788093567,True,validation
62,7,6,standard_laps,1,28268,28.268,none,Data/cnn-classes/standard_laps/lap_0062_brake_01.png,Data/cnn-classes/standard_laps/lap_0062_brake_02.png,Data/cnn-classes/standard_laps/lap_0062_throttle_01.png,Data/cnn-classes/standard_laps/lap_0062_throttle_02.png,Data/image-data/session-7/brake/Lap_6_Brake hit_1.png,Data/image-data/session-7/brake/Lap_6_Brake hit_2.png,Data/image-data/session-7/throttle/Lap_6_Throttle hit_1.png,Data/image-data/session-7/throttle/Lap_6_Throttle hit_2.png,1.1517844200134275,3.0224781036376958,1.870693683624268,2.087131261825561,True,validation
63,7,7,standard_laps,1,28287,28.287,none,Data/cnn-classes/standard_laps/lap_0063_brake_01.png,Data/cnn-classes/standard_laps/lap_0063_brake_02.png,Data/cnn-classes/standard_laps/lap_0063_throttle_01.png,Data/cnn-classes/standard_laps/lap_0063_throttle_02.png,Data/image-data/session-7/brake/Lap_7_Brake hit_1.png,Data/image-data/session-7/brake/Lap_7_Brake hit_2.png,Data/image-data/session-7/throttle/Lap_7_Throttle hit_1.png,Data/image-data/session-7/throttle/Lap_7_Throttle hit_2.png,1.1383581161499023,2.626997232437134,1.4886391162872314,1.882677674293518,True,validation
65,7,9,sub_standard_laps,2,29667,29.667,none,Data/cnn-classes/sub_standard_laps/lap_0065_brake_01.png,Data/cnn-classes/sub_standard_laps/lap_0065_brake_02.png,Data/cnn-classes/sub_standard_laps/lap_0065_throttle_01.png,Data/cnn-classes/sub_standard_laps/lap_0065_throttle_02.png,Data/image-data/session-7/brake/Lap_9_Brake hit_1.png,Data/image-data/session-7/brake/Lap_9_Brake hit_2.png,Data/image-data/session-7/throttle/Lap_9_Throttle hit_1.png,Data/image-data/session-7/throttle/Lap_9_Throttle hit_2.png,2.21328353881836,2.3482329845428467,0.1349494457244873,2.280758261680603,True,validation
67,7,11,sub_standard_laps,2,28902,28.902,none,Data/cnn-classes/sub_standard_laps/lap_0067_brake_01.png,Data/cnn-classes/sub_standard_laps/lap_0067_brake_02.png,Data/cnn-classes/sub_standard_laps/lap_0067_throttle_01.png,Data/cnn-classes/sub_standard_laps/lap_0067_throttle_02.png,Data/image-data/session-7/brake/Lap_11_Brake hit_1.png,Data/image-data/session-7/brake/Lap_11_Brake hit_2.png,Data/image-data/session-7/throttle/Lap_11_Throttle hit_1.png,Data/image-data/session-7/throttle/Lap_11_Throttle hit_2.png,1.325571060180664,2.9569568634033203,1.6313858032226562,2.141263961791992,True,validation
70,8,3,sub_standard_laps,2,28933,28.933,none,Data/cnn-classes/sub_standard_laps/lap_0070_brake_01.png,Data/cnn-classes/sub_standard_laps/lap_0070_brake_02.png,Data/cnn-classes/sub_standard_laps/lap_0070_throttle_01.png,Data/cnn-classes/sub_standard_laps/lap_0070_throttle_02.png,Data/image-data/session-8/brake/Lap_3_Brake hit_1.png,Data/image-data/session-8/brake/Lap_3_Brake hit_2.png,Data/image-data/session-8/throttle/Lap_3_Throttle hit_1.png,Data/image-data/session-8/throttle/Lap_3_Throttle hit_2.png,1.1870827674865725,2.920216560363769,1.7331337928771973,2.053649663925171,True,train
71,8,4,standard_laps,1,28536,28.536,none,Data/cnn-classes/standard_laps/lap_0071_brake_01.png,Data/cnn-classes/standard_laps/lap_0071_brake_02.png,Data/cnn-classes/standard_laps/lap_0071_throttle_01.png,Data/cnn-classes/standard_laps/lap_0071_throttle_02.png,Data/image-data/session-8/brake/Lap_4_Brake hit_1.png,Data/image-data/session-8/brake/Lap_4_Brake hit_2.png,Data/image-data/session-8/throttle/Lap_4_Throttle hit_1.png,Data/image-data/session-8/throttle/Lap_4_Throttle hit_2.png,1.624111890792847,2.529339075088501,0.9052271842956544,2.076725482940674,True,train
73,8,6,standard_laps,1,28223,28.223,none,Data/cnn-classes/standard_laps/lap_0073_brake_01.png,Data/cnn-classes/standard_laps/lap_0073_brake_02.png,Data/cnn-classes/standard_laps/lap_0073_throttle_01.png,Data/cnn-classes/standard_laps/lap_0073_throttle_02.png,Data/image-data/session-8/brake/Lap_6_Brake hit_1.png,Data/image-data/session-8/brake/Lap_6_Brake hit_2.png,Data/image-data/session-8/throttle/Lap_6_Throttle hit_1.png,Data/image-data/session-8/throttle/Lap_6_Throttle hit_2.png,1.184779167175293,2.949165344238281,1.7643861770629885,2.066972255706787,True,train
74,8,7,standard_laps,1,28489,28.489,none,Data/cnn-classes/standard_laps/lap_0074_brake_01.png,Data/cnn-classes/standard_laps/lap_0074_brake_02.png,Data/cnn-classes/standard_laps/lap_0074_throttle_01.png,Data/cnn-classes/standard_laps/lap_0074_throttle_02.png,Data/image-data/session-8/brake/Lap_7_Brake hit_1.png,Data/image-data/session-8/brake/Lap_7_Brake hit_2.png,Data/image-data/session-8/throttle/Lap_7_Throttle hit_1.png,Data/image-data/session-8/throttle/Lap_7_Throttle hit_2.png,1.6503453254699707,2.992475986480713,1.3421306610107422,2.321410655975342,True,train
75,8,8,standard_laps,1,28408,28.408,none,Data/cnn-classes/standard_laps/lap_0075_brake_01.png,Data/cnn-classes/standard_laps/lap_0075_brake_02.png,Data/cnn-classes/standard_laps/lap_0075_throttle_01.png,Data/cnn-classes/standard_laps/lap_0075_throttle_02.png,Data/image-data/session-8/brake/Lap_8_Brake hit_1.png,Data/image-data/session-8/brake/Lap_8_Brake hit_2.png,Data/image-data/session-8/throttle/Lap_8_Throttle hit_1.png,Data/image-data/session-8/throttle/Lap_8_Throttle hit_2.png,1.7128939628601074,2.634553909301758,0.9216599464416504,2.1737239360809326,True,train
77,8,10,standard_laps,1,28191,28.191,none,Data/cnn-classes/standard_laps/lap_0077_brake_01.png,Data/cnn-classes/standard_laps/lap_0077_brake_02.png,Data/cnn-classes/standard_laps/lap_0077_throttle_01.png,Data/cnn-classes/standard_laps/lap_0077_throttle_02.png,Data/image-data/session-8/brake/Lap_10_Brake hit_1.png,Data/image-data/session-8/brake/Lap_10_Brake hit_2.png,Data/image-data/session-8/throttle/Lap_10_Throttle hit_1.png,Data/image-data/session-8/throttle/Lap_10_Throttle hit_2.png,1.1617155075073242,2.354209899902344,1.1924943923950195,1.757962703704834,True,train
79,9,2,sub_standard_laps,2,29531,29.531,none,Data/cnn-classes/sub_standard_laps/lap_0079_brake_01.png,Data/cnn-classes/sub_standard_laps/lap_0079_brake_02.png,Data/cnn-classes/sub_standard_laps/lap_0079_throttle_01.png,Data/cnn-classes/sub_standard_laps/lap_0079_throttle_02.png,Data/image-data/session-9/brake/Lap_2_Brake hit_1.png,Data/image-data/session-9/brake/Lap_2_Brake hit_2.png,Data/image-data/session-9/throttle/Lap_2_Throttle hit_1.png,Data/image-data/session-9/throttle/Lap_2_Throttle hit_2.png,2.093603134155273,3.348637580871582,1.2550344467163086,2.721120357513428,True,train
